Lockdown_Off,TRUE,,,,,,,Row Labels, Average of MeanR , Average of CurrentInfections , Average of DailyCases , Average of numberInfected 
,,,,,,,,16-Feb, -   , -   , -   , -   
Row Labels,Average of MeanR,Average of CurrentInfections,Average of DailyCases,Average of numberInfected,,,,17-Feb, -   ,25, -   , -   
174,0,0.2,0,1497.533333,,,,10-Aug,0.07,0, -   ,"1,498"
175,0,0.2,0,1497.6,,,,11-Aug, -   ,0, -   ,"1,498"
176,0.066666667,0.2,0,1497.6,,,,12-Aug,0.13,0, -   ,"1,498"
177,0,0.266666667,0,1497.6,,,,13-Aug,0.13,0, -   ,"1,498"
178,0.133333333,0.266666667,0,1497.6,,,,14-Aug, -   ,0, -   ,"1,498"
179,0.133333333,0.266666667,0,1497.6,,,,15-Aug, -   ,0, -   ,"1,498"
180,0,0.2,0,1497.6,,,,16-Aug, -   ,0, -   ,"1,498"
181,0,0.133333333,0,1497.6,,,,17-Aug, -   ,0, -   ,"1,498"
182,0,0.066666667,0,1497.6,,,,18-Aug, -   ,0,0,"1,498"
183,0,0.066666667,0,1497.6,,,,19-Aug, -   ,0, -   ,"1,498"
184,0,0.066666667,0.066666667,1497.6,,,,20-Aug, -   ,0, -   ,"1,498"
185,0,0.066666667,0,1497.6,,,,21-Aug, -   ,0, -   ,"1,498"
186,0,0.066666667,0,1497.666667,,,,22-Aug, -   ,0, -   ,"1,498"
187,0,0.066666667,0,1497.666667,,,,23-Aug,0.13,0, -   ,"1,498"
188,0,0.066666667,0,1497.666667,,,,24-Aug, -   ,0, -   ,"1,498"
189,0.133333333,0.066666667,0,1497.666667,,,,25-Aug, -   ,0, -   ,"1,498"
190,0,0.066666667,0,1497.666667,,,,26-Aug, -   ,0, -   ,"1,498"
191,0,0.066666667,0,1497.666667,,,,27-Aug, -   , -   , -   ,"1,498"
192,0,0.066666667,0,1497.666667,,,,28-Aug, -   , -   , -   ,"1,498"
193,0,0,0,1497.666667,,,,29-Aug, -   , -   , -   ,"1,498"
194,0,0,0,1497.666667,,,,30-Aug, -   , -   , -   ,"1,498"
195,0,0,0,1497.666667,,,,31-Aug, -   , -   , -   ,"1,498"
196,0,0,0,1497.666667,,,,1-Sep, -   , -   , -   ,"1,498"
197,0,0,0,1497.666667,,,,2-Sep, -   , -   , -   ,"1,498"
198,0,0,0,1497.666667,,,,3-Sep, -   , -   , -   ,"1,498"
199,0,0,0,1497.666667,,,,4-Sep, -   , -   , -   ,"1,498"
200,0,0,0,1497.666667,,,,5-Sep, -   , -   , -   ,"1,498"
201,0,0,0,1497.666667,,,,6-Sep, -   , -   , -   ,"1,498"
202,0,0,0,1497.666667,,,,7-Sep, -   , -   , -   ,"1,498"
203,0,0,0,1497.666667,,,,8-Sep, -   , -   , -   ,"1,498"
204,0,0,0,1497.666667,,,,9-Sep, -   , -   , -   ,"1,498"
205,0,0,0,1497.666667,,,,10-Sep, -   , -   , -   ,"1,498"
206,0,0,0,1497.666667,,,,11-Sep, -   , -   , -   ,"1,498"
207,0,0,0,1497.666667,,,,12-Sep, -   , -   , -   ,"1,498"
208,0,0,0,1497.666667,,,,13-Sep, -   , -   , -   ,"1,498"
209,0,0,0,1497.666667,,,,14-Sep, -   , -   , -   ,"1,498"
210,0,0,0,1497.666667,,,,15-Sep, -   , -   , -   ,"1,498"
211,0,0,0,1497.666667,,,,16-Sep, -   , -   , -   ,"1,498"
212,0,0,0,1497.666667,,,,17-Sep, -   , -   , -   ,"1,498"
213,0,0,0,1497.666667,,,,18-Sep, -   , -   , -   ,"1,498"
214,0,0,0,1497.666667,,,,19-Sep, -   , -   , -   ,"1,498"
215,0,0,0,1497.666667,,,,20-Sep, -   , -   , -   ,"1,498"
216,0,0,0,1497.666667,,,,21-Sep, -   , -   , -   ,"1,498"
217,0,0,0,1497.666667,,,,22-Sep, -   , -   , -   ,"1,498"
218,0,0,0,1497.666667,,,,23-Sep, -   , -   , -   ,"1,498"
219,0,0,0,1497.666667,,,,24-Sep, -   , -   , -   ,"1,498"
220,0,0,0,1497.666667,,,,25-Sep, -   , -   , -   ,"1,498"
221,0,0,0,1497.666667,,,,26-Sep, -   , -   , -   ,"1,498"
222,0,0,0,1497.666667,,,,27-Sep, -   , -   , -   ,"1,498"
223,0,0,0,1497.666667,,,,28-Sep, -   , -   , -   ,"1,498"
224,0,0,0,1497.666667,,,,29-Sep, -   , -   , -   ,"1,498"
225,0,0,0,1497.666667,,,,30-Sep, -   , -   , -   ,"1,498"
226,0,0,0,1497.666667,,,,1-Oct, -   , -   , -   ,"1,498"
227,0,0,0,1497.666667,,,,2-Oct, -   , -   , -   ,"1,498"
228,0,0,0,1497.666667,,,,3-Oct, -   , -   , -   ,"1,498"
229,0,0,0,1497.666667,,,,4-Oct, -   , -   , -   ,"1,498"
230,0,0,0,1497.666667,,,,5-Oct, -   , -   , -   ,"1,498"
231,0,0,0,1497.666667,,,,6-Oct, -   , -   , -   ,"1,498"
232,0,0,0,1497.666667,,,,7-Oct, -   , -   , -   ,"1,498"
233,0,0,0,1497.666667,,,,8-Oct, -   , -   , -   ,"1,498"
234,0,0,0,1497.666667,,,,9-Oct, -   , -   , -   ,"1,498"
235,0,0,0,1497.666667,,,,10-Oct, -   , -   , -   ,"1,498"
236,0,0,0,1497.666667,,,,11-Oct, -   , -   , -   ,"1,498"
237,0,0,0,1497.666667,,,,12-Oct, -   , -   , -   ,"1,498"
238,0,0,0,1497.666667,,,,13-Oct, -   , -   , -   ,"1,498"
239,0,0,0,1497.666667,,,,14-Oct, -   , -   , -   ,"1,498"
240,0,0,0,1497.666667,,,,15-Oct, -   , -   , -   ,"1,498"
241,0,0,0,1497.666667,,,,16-Oct, -   , -   , -   ,"1,498"
242,0,0,0,1497.666667,,,,17-Oct, -   , -   , -   ,"1,498"
243,0,0,0,1497.666667,,,,18-Oct, -   , -   , -   ,"1,498"
244,0,0,0,1497.666667,,,,19-Oct, -   , -   , -   ,"1,498"
245,0,0,0,1497.666667,,,,20-Oct, -   , -   , -   ,"1,498"
246,0,0,0,1497.666667,,,,21-Oct, -   , -   , -   ,"1,498"
247,0,0,0,1497.666667,,,,22-Oct, -   , -   , -   ,"1,498"
248,0,0,0,1497.666667,,,,23-Oct, -   , -   , -   ,"1,498"
249,0,0,0,1497.666667,,,,24-Oct, -   , -   , -   ,"1,498"
250,0,0,0,1497.666667,,,,25-Oct, -   , -   , -   ,"1,498"
251,0,0,0,1497.666667,,,,26-Oct, -   , -   , -   ,"1,498"
252,0,0,0,1497.666667,,,,27-Oct, -   , -   , -   ,"1,498"
253,0,0,0,1497.666667,,,,28-Oct, -   , -   , -   ,"1,498"
254,0,0,0,1497.666667,,,,29-Oct, -   , -   , -   ,"1,498"
255,0,0,0,1497.666667,,,,30-Oct, -   , -   , -   ,"1,498"
256,0,0,0,1497.666667,,,,31-Oct, -   , -   , -   ,"1,498"
257,0,0,0,1497.666667,,,,1-Nov, -   , -   , -   ,"1,498"
258,0,0,0,1497.666667,,,,2-Nov, -   , -   , -   ,"1,498"
259,0,0,0,1497.666667,,,,3-Nov, -   , -   , -   ,"1,498"
260,0,0,0,1497.666667,,,,4-Nov, -   , -   , -   ,"1,498"
261,0,0,0,1497.666667,,,,5-Nov, -   , -   , -   ,"1,498"
262,0,0,0,1497.666667,,,,6-Nov, -   , -   , -   ,"1,498"
263,0,0,0,1497.666667,,,,7-Nov, -   , -   , -   ,"1,498"
264,0,0,0,1497.666667,,,,8-Nov, -   , -   , -   ,"1,498"
265,0,0,0,1497.666667,,,,9-Nov, -   , -   , -   ,"1,498"
266,0,0,0,1497.666667,,,,10-Nov, -   , -   , -   ,"1,498"
267,0,0,0,1497.666667,,,,11-Nov, -   , -   , -   ,"1,498"
268,0,0,0,1497.666667,,,,12-Nov, -   , -   , -   ,"1,498"
269,0,0,0,1497.666667,,,,13-Nov, -   , -   , -   ,"1,498"
270,0,0,0,1497.666667,,,,14-Nov, -   , -   , -   ,"1,498"
271,0,0,0,1497.666667,,,,15-Nov, -   , -   , -   ,"1,498"
272,0,0,0,1497.666667,,,,16-Nov, -   , -   , -   ,"1,498"
273,0,0,0,1497.666667,,,,17-Nov, -   , -   , -   ,"1,498"
274,0,0,0,1497.666667,,,,18-Nov, -   , -   , -   ,"1,498"
275,0,0,0,1497.666667,,,,19-Nov, -   , -   , -   ,"1,498"
276,0,0,0,1497.666667,,,,20-Nov, -   , -   , -   ,"1,498"
