"BehaviorSpace results (NetLogo 6.1.0)"
"COVID SIMULS.nlogo"
"Containment Policy"
"04/02/2020 10:41:33:899 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-45","45","-60","60"
"[run number]","Illness_period","SpatialDistance","Proportion_Isolating","Total_Population","Available_Resources","Current_Cases","Media_Exposure","Bed_Capacity","ReInfectionRate","RestrictedMovement","Superspreaders","Severity_of_illness","Send_to_Hospital","ProductionRate","Incubation_Period","Case_Isolation","Initial","ID_Rate","PolicyTriggerOn","Proportion_People_Avoid","Population","Treatment_Benefit","FearTrigger","Speed","Triggerday","Proportion_time_Avoid","InfectionRate","Age_Isolation","Contact_Radius","[step]","count simuls with [ color = red ]","count simuls with [ color = 85 ]","count simuls with [color = black ]","count simuls with [ color = yellow ]","count simuls with [ color = black and agerange = 5 ]","count simuls with [ color = black and agerange = 15 ]","count simuls with [ color = black and agerange = 25 ]","count simuls with [ color = black and agerange = 35 ]","count simuls with [ color = black and agerange = 45 ]","count simuls with [ color = black and agerange = 55 ]","count simuls with [ color = black and agerange = 65 ]","count simuls with [ color = black and agerange = 75 ]","count simuls with [ color = black and agerange = 85 ]","count simuls with [ color = black and agerange = 95 ]","mean [ R ] of simuls with [ timenow = Illness_period ]","mean [ contacts ] of simuls / ticks","mean [ timenow ] of simuls with [ color = red ]","count simuls with [ color = red and timenow = 10 ] * (Total_Population / 1000 / Population )","sum [ reserves ] of simuls with [ color != black ]"
"16","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","3","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.28986666666666666","8","0","7.323259515234658E7"
"15","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","3","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.29960000000000003","8","0","7.40724927807186E7"
"3","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","3","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.292","8","0","7.595804204246171E7"
"9","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","3","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.28786666666666666","8","0","7.353166304088366E7"
"5","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","3","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.29586666666666667","8","0","7.532427953264204E7"
"6","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","3","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.2956666666666667","8","0","7.292478719401206E7"
"10","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","3","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.297","8","0","7.488014223872028E7"
"12","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","3","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.29533333333333334","8","0","7.548359832783514E7"
"2","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","3","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.2932666666666667","8","0","7.600741203789768E7"
"7","15","false","100","25000000","0","5000","50","2","0","0","100","15","true","5","5","false","1","0.1","true","75","5000","4","50","1","7","75","35","0","45","3","1","4999","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.2856666666666667","8","0","7.353998944661097E7"
