"BehaviorSpace results (NetLogo 6.1.0)"
"COVID SIMULS.html"
"Lancet Paper NZ"
"04/13/2020 21:20:48:637 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-40","40"
"[run number]","Illness_period","Spatial_Distance","Compliance_with_Isolation","Total_Population","Available_Resources","Current_Cases","Media_Exposure","Hospital_Beds_in_Australia","ReInfectionRate","RestrictedMovement","Superspreaders","Severity_of_illness","Quarantine","ProductionRate","Incubation_Period","Case_Isolation","Initial","Track_and_Trace_Efficiency","PolicyTriggerOn","Proportion_People_Avoid","Population","Treatment_Benefit","FearTrigger","Speed","Triggerday","Proportion_time_Avoid","InfectionRate","Age_Isolation","Contact_Radius","Scale","Lockdown_Off","Freewheel","TimelockdownOff","Diffusion_Adjustment","[step]","count simuls with [ color = red ]","count simuls with [ color = 85 ]","count simuls with [color = black ]","count simuls with [ color = yellow ]","count simuls with [ color = black and agerange = 5 ]","count simuls with [ color = black and agerange = 15 ]","count simuls with [ color = black and agerange = 25 ]","count simuls with [ color = black and agerange = 35 ]","count simuls with [ color = black and agerange = 45 ]","count simuls with [ color = black and agerange = 55 ]","count simuls with [ color = black and agerange = 65 ]","count simuls with [ color = black and agerange = 75 ]","count simuls with [ color = black and agerange = 85 ]","count simuls with [ color = black and agerange = 95 ]","mean [ R ] of simuls with [ color = red and timenow = Illness_period ]","mean [ contacts ] of simuls / ticks","mean [ timenow ] of simuls with [ color = red ]","count simuls with [ color = red and timenow = Incubation_Period ]","sum [ reserves ] of simuls with [ color != black ]","scalePhase","numberInfected","deathcount","casefatalityrate","ICUBedsRequired","DailyCases","CurrentInfections","EliminationDate"
"4","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","3","30","2470","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.42586666666666667","7.133333333333334","1","8169220.871449438","0","1","0","0","1","7","30","0"
"7","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","3","26","2474","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.432","7.423076923076923","0","8360847.659825053","0","0","0","0","2","6","26","0"
"5","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","4","30","2470","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.4398","7.766666666666667","1","8602049.350005908","0","6","0","0","0","8","30","0"
"8","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","3","34","2466","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.4141333333333333","6.705882352941177","1","8553718.543254782","0","2","0","0","2","2","34","0"
"3","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","3","27","2473","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.41786666666666666","7.37037037037037","2","8410085.105323547","0","0","0","0","2","4","27","0"
"2","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","3","26","2474","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.4186666666666667","7.3076923076923075","0","8136875.134589097","0","0","0","0","2","4","26","0"
"1","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","1","25","2475","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.24","6.24","5","8394139.66724005","0","0","0","0","3","2","25","0"
"6","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","4","32","2468","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.4516","7.78125","0","8658197.93474151","0","6","0","0","0","8","32","0"
"4","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","4","35","2465","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.4488","7.228571428571429","2","8160378.770645943","0","3","0","0","1","8","35","0"
"5","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","5","33","2467","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.45176","8.090909090909092","2","8595958.860390428","0","12","0","0","0","4","33","0"
