"BehaviorSpace results (NetLogo 6.1.0)"
"COVID SIMULS.html"
"Lancet Paper Aus"
"04/14/2020 15:39:42:785 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-40","40"
"[run number]","Illness_period","Spatial_Distance","Compliance_with_Isolation","Total_Population","Available_Resources","Current_Cases","Media_Exposure","Hospital_Beds_in_Australia","ReInfectionRate","RestrictedMovement","Superspreaders","Severity_of_illness","Quarantine","ProductionRate","Incubation_Period","Case_Isolation","Initial","Track_and_Trace_Efficiency","PolicyTriggerOn","Proportion_People_Avoid","Population","Treatment_Benefit","FearTrigger","Speed","Triggerday","Proportion_time_Avoid","InfectionRate","Age_Isolation","Contact_Radius","Scale","Lockdown_Off","Freewheel","TimelockdownOff","Diffusion_Adjustment","SE_Illnesspd","se_Incubation","se_compliance","[step]","count simuls with [ color = red ]","count simuls with [ color = 85 ]","count simuls with [color = black ]","count simuls with [ color = yellow ]","count simuls with [ color = black and agerange = 5 ]","count simuls with [ color = black and agerange = 15 ]","count simuls with [ color = black and agerange = 25 ]","count simuls with [ color = black and agerange = 35 ]","count simuls with [ color = black and agerange = 45 ]","count simuls with [ color = black and agerange = 55 ]","count simuls with [ color = black and agerange = 65 ]","count simuls with [ color = black and agerange = 75 ]","count simuls with [ color = black and agerange = 85 ]","count simuls with [ color = black and agerange = 95 ]","mean [ contacts ] of simuls / ticks","mean [ timenow ] of simuls with [ color = red ]","count simuls with [ color = red and timenow = Incubation_Period ]","sum [ reserves ] of simuls with [ color != black ]","scalePhase","numberInfected","deathcount","casefatalityrate","ICUBedsRequired","DailyCases","CurrentInfections","EliminationDate","MeanR"
"5","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","4","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.377","9","0","8465526.696788697","0","0","0","0","0","0","1","0","0"
"4","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","5","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.39888","9","0","8121358.0292055765","0","0","0","0","0","0","1","0","0"
"3","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","5","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","0.4048","8","1","8567553.858676488","0","1","0","0","0","0","2","0","0"
"2","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","5","4","2496","0","0","0","0","0","0","0","0","0","0","0","0","0.40368000000000004","6","0","8254824.855167102","0","0","0","0","0","0","4","0","0"
"7","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","4","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.3851","10","0","8784478.150760999","0","1","0","0","0","0","1","0","0"
"1","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","2","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","0.2578","6","0","8416620.364423312","0","0","0","0","0","0","2","0","0"
"4","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","6","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.4192666666666667","10","0","8119846.762834443","0","1","0","0","0","0","1","0","0"
"5","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","5","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","0.40448000000000006","5.5","0","8462285.056006016","0","1","0","0","0","0","2","0","0"
"3","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","6","3","2497","0","0","0","0","0","0","0","0","0","0","0","0","0.4242666666666666","6.333333333333333","0","8565243.964659348","0","1","0","0","0","0","3","0","0"
"6","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","67","85","50","0","0","true","false","false","157","10","1","0.2","1","5","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","0.40384000000000003","8.5","0","8621105.415483795","0","0","0","0","0","1","2","0","0"
