Lockdown_Off2,FALSE,,,,,,Date,Mean R,New cases / day,Current Infections,Total Infections
112,0.327624459,3.65,117.6,8831.1,,,9-May,0.45,5.65,95.95,8843.5
113,0.343614719,5.95,107.95,8839.85,,,10-May,0.45,3.65,83.55,8849.45
114,0.45419137,5.65,95.95,8843.5,,,11-May,0.28,6.35,74.7,8855.1
115,0.446818182,3.65,83.55,8849.45,,,12-May,0.29,5.7,68.95,8858.75
116,0.278636364,6.35,74.7,8855.1,,,13-May,0.48,3.05,62.4,8865.1
117,0.294166667,5.7,68.95,8858.75,,,14-May,0.40,4.1,59.1,8870.8
118,0.484393939,3.05,62.4,8865.1,,,15-May,0.37,2.05,51.7,8873.85
119,0.404924242,4.1,59.1,8870.8,,,16-May,0.54,3.95,49.85,8877.95
120,0.370072464,2.05,51.7,8873.85,,,17-May,0.52,1.35,45.3,8880
121,0.53877141,3.95,49.85,8877.95,,,18-May,0.63,1.15,41.25,8883.95
122,0.519012181,1.35,45.3,8880,,,19-May,0.38,1.4,38.9,8885.3
123,0.626136364,1.15,41.25,8883.95,,,20-May,0.38,0.95,33,8886.45
124,0.376601732,1.4,38.9,8885.3,,,21-May,0.39,1.35,27.95,8887.85
125,0.384090909,0.95,33,8886.45,,,22-May,0.42,1.95,26.1,8888.8
126,0.387878788,1.35,27.95,8887.85,,,23-May,0.27,1.35,22.75,8890.15
127,0.422424242,1.95,26.1,8888.8,,,24-May,0.35,1.15,21.35,8892.1
128,0.271515152,1.35,22.75,8890.15,,,25-May,0.24,1.35,17.95,8893.45
129,0.3525,1.15,21.35,8892.1,,,26-May,0.49,1.3,16.8,8894.6
130,0.236666667,1.35,17.95,8893.45,,,27-May,0.06,0.9,16.35,8895.95
131,0.4875,1.3,16.8,8894.6,,,28-May,0.58,0.75,15.55,8897.25
132,0.0625,0.9,16.35,8895.95,,,29-May,0.48,0.95,15.05,8898.15
133,0.575,0.75,15.55,8897.25,,,30-May,0.34,0.85,14.2,8898.9
134,0.475,0.95,15.05,8898.15,,,31-May,0.42,0.65,12.65,8899.85
135,0.343452381,0.85,14.2,8898.9,,,1-Jun,0.27,0.55,11.5,8900.7
136,0.416666667,0.65,12.65,8899.85,,,2-Jun,0.35,0.25,10.7,8901.35
137,0.27,0.55,11.5,8900.7,,,3-Jun,0.40,0.7,9.55,8901.9
138,0.345,0.25,10.7,8901.35,,,4-Jun,0.32,0.55,8.45,8902.15
139,0.4,0.7,9.55,8901.9,,,5-Jun,0.35,0.45,8,8902.85
140,0.320833333,0.55,8.45,8902.15,,,6-Jun,0.15,0.5,7.3,8903.4
141,0.35,0.45,8,8902.85,,,7-Jun,0.15,0.4,6.45,8903.85
142,0.15,0.5,7.3,8903.4,,,8-Jun,0.05,0.2,5.8,8904.35
143,0.15,0.4,6.45,8903.85,,,9-Jun,0.11,0.35,5.4,8904.75
144,0.05,0.2,5.8,8904.35,,,10-Jun,0.25,0.3,5,8904.95
145,0.108333333,0.35,5.4,8904.75,,,11-Jun,0.15,0.2,4.75,8905.3
146,0.25,0.3,5,8904.95,,,12-Jun,0.17,0.35,4.25,8905.6
147,0.15,0.2,4.75,8905.3,,,13-Jun,0.05,0.05,3.75,8905.8
148,0.166666667,0.35,4.25,8905.6,,,14-Jun,0.00,0.1,3.35,8906.15
149,0.05,0.05,3.75,8905.8,,,15-Jun,0.18,0.2,3,8906.2
150,0,0.1,3.35,8906.15,,,16-Jun,0.08,0.25,2.65,8906.3
151,0.175,0.2,3,8906.2,,,17-Jun,0.13,0.15,2.45,8906.5
152,0.075,0.25,2.65,8906.3,,,18-Jun,0.00,0.1,2.2,8906.75
153,0.125,0.15,2.45,8906.5,,,19-Jun,0.20,0.2,1.95,8906.9
154,0,0.1,2.2,8906.75,,,20-Jun,0.00,0,1.9,8907
155,0.2,0.2,1.95,8906.9,,,21-Jun,0.00,0.1,1.6,8907.2
156,0,0,1.9,8907,,,22-Jun,0.08,0.1,1.6,8907.2
157,0,0.1,1.6,8907.2,,,23-Jun,0.05,0,1.55,8907.3
158,0.075,0.1,1.6,8907.2,,,24-Jun,0.05,0,1.4,8907.4
159,0.05,0,1.55,8907.3,,,25-Jun,0.00,0.1,1.2,8907.4
160,0.05,0,1.4,8907.4,,,26-Jun,0.10,0.05,1.1,8907.4
161,0,0.1,1.2,8907.4,,,27-Jun,0.05,0.15,1.1,8907.5
162,0.1,0.05,1.1,8907.4,,,28-Jun,0.00,0.05,0.95,8907.55
163,0.05,0.15,1.1,8907.5,,,29-Jun,0.00,0.05,0.95,8907.7
164,0,0.05,0.95,8907.55,,,30-Jun,0.00,0.05,1,8907.75
165,0,0.05,0.95,8907.7,,,1-Jul,0.05,0.05,1.1,8907.8
166,0,0.05,1,8907.75,,,2-Jul,0.00,0.05,1.15,8907.85
167,0.05,0.05,1.1,8907.8,,,3-Jul,0.00,0.05,1.2,8907.9
168,0,0.05,1.15,8907.85,,,4-Jul,0.00,0.1,1.15,8907.95
169,0,0.05,1.2,8907.9,,,5-Jul,0.25,0.05,1.1,8908
170,0,0.1,1.15,8907.95,,,6-Jul,0.00,0,0.95,8908.1
171,0.25,0.05,1.1,8908,,,7-Jul,0.00,0.15,0.95,8908.15
172,0,0,0.95,8908.1,,,8-Jul,0.10,0.2,0.95,8908.15
173,0,0.15,0.95,8908.15,,,9-Jul,0.05,0.05,0.95,8908.3
174,0.1,0.2,0.95,8908.15,,,10-Jul,0.05,0.05,0.9,8908.5
175,0.05,0.05,0.95,8908.3,,,11-Jul,0.00,0.05,0.85,8908.55
176,0.05,0.05,0.9,8908.5,,,12-Jul,0.00,0,0.8,8908.6
177,0,0.05,0.85,8908.55,,,13-Jul,0.00,0,0.7,8908.65
178,0,0,0.8,8908.6,,,14-Jul,0.15,0.05,0.65,8908.65
179,0,0,0.7,8908.65,,,15-Jul,0.10,0.05,0.65,8908.65
180,0.15,0.05,0.65,8908.65,,,16-Jul,0.00,0.05,0.55,8908.7
181,0.1,0.05,0.65,8908.65,,,17-Jul,0.00,0,0.35,8908.75
182,0,0.05,0.55,8908.7,,,18-Jul,0.10,0,0.3,8908.8
183,0,0,0.35,8908.75,,,19-Jul,0.00,0,0.25,8908.8
184,0.1,0,0.3,8908.8,,,20-Jul,0.10,0,0.2,8908.8
185,0,0,0.25,8908.8,,,21-Jul,0.00,0,0.2,8908.8
186,0.1,0,0.2,8908.8,,,22-Jul,0.00,0,0.2,8908.8
187,0,0,0.2,8908.8,,,23-Jul,0.00,0.05,0.15,8908.8
188,0,0,0.2,8908.8,,,24-Jul,0.00,0,0.1,8908.8
189,0,0.05,0.15,8908.8,,,25-Jul,0.00,0,0.05,8908.85
190,0,0,0.1,8908.8,,,26-Jul,0.00,0,0.05,8908.85
191,0,0,0.05,8908.85,,,27-Jul,0.00,0,0.05,8908.85
192,0,0,0.05,8908.85,,,28-Jul,0.00,0,0.05,8908.85
193,0,0,0.05,8908.85,,,29-Jul,0.00,0,0.05,8908.85
194,0,0,0.05,8908.85,,,30-Jul,0.00,0,0.05,8908.85
195,0,0,0.05,8908.85,,,31-Jul,0.00,0,0.05,8908.85
196,0,0,0.05,8908.85,,,1-Aug,0.00,0,0,8908.85
197,0,0,0.05,8908.85,,,2-Aug,0.00,0,0,8908.85
